P,I,D,CTE,Total Error,Speed,Steer Value,Steering Angle
0.7398,58.8735,-0.0009,0.7398,1.42118,3.6,-0.06498,-1.1927
0.7398,59.6133,0,0.7398,1.42465,3.6,-0.07398,-1.1927
0.7388,60.3521,-0.001,0.7388,1.42806,3.7109,-0.06388,-1.1882
0.7378,61.0899,-0.001,0.7378,1.43142,3.8239,-0.06378,-1.4132
0.7367,61.8266,-0.0011,0.7367,1.43473,3.9384,-0.06267,-1.1607
0.7357,62.5623,-0.001,0.7357,1.43799,4.0509,-0.06357,-1.1582
0.7345,63.2968,-0.0012,0.7345,1.4412,4.1643,-0.06145,-1.1304
0.7345,64.0313,0,0.7345,1.44437,4.1643,-0.07345,-1.1304
0.7334,64.7647,-0.0011,0.7334,1.4475,4.2768,-0.06234,-1.0999
0.7322,65.4969,-0.0012,0.7322,1.45058,4.3893,-0.06122,-1.3999
0.731,66.2279,-0.0012,0.731,1.45362,4.5016,-0.0611,-1.1222
0.7297,66.9576,-0.0013,0.7297,1.45661,4.6137,-0.05997,-1.0942
0.7284,67.686,-0.0013,0.7284,1.45956,4.7255,-0.05984,-1.0912
0.7284,68.4144,0,0.7284,1.46247,4.7255,-0.07284,-1.0912
0.7271,69.1415,-0.0013,0.7271,1.46534,4.8372,-0.05971,-1.0597
0.7257,69.8672,-0.0014,0.7257,1.46818,4.9486,-0.05857,-1.3847
0.6975,70.5647,-0.0282,0.6975,1.47076,6.7027,0.21225,-1.0564
0.693,71.2577,-0.0045,0.693,1.47329,6.918,-0.0243,-1.0279
0.693,71.9507,0,0.693,1.47579,6.918,-0.0693,-1.0279
0.6909,72.6416,-0.0021,0.6909,1.47825,7.0252,-0.04809,-0.1712
0.6886,73.3302,-0.0023,0.6886,1.48067,7.1321,-0.04586,-1.2962
0.6862,74.0164,-0.0024,0.6862,1.48305,7.239,-0.04462,-0.7659
0.6839,74.7003,-0.0023,0.6839,1.48539,7.3456,-0.04539,-0.7102
0.6815,75.3818,-0.0024,0.6815,1.48769,7.4521,-0.04415,-0.6792
0.6815,76.0633,0,0.6815,1.48996,7.4521,-0.06815,-0.6792
0.6791,76.7424,-0.0024,0.6791,1.4922,7.5583,-0.04391,-0.6674
0.6765,77.4189,-0.0026,0.6765,1.4944,7.6641,-0.04165,-1.2674
0.6739,78.0928,-0.0026,0.6739,1.49657,7.7699,-0.04139,-0.6614
0.6687,78.7615,-0.0052,0.6687,1.49868,7.9808,-0.01487,-0.6049
0.6687,79.4302,0,0.6687,1.50077,7.9808,-0.06687,-0.6049
0.6662,80.0964,-0.0025,0.6662,1.50282,8.0858,-0.04162,0.0646
0.6634,80.7598,-0.0028,0.6634,1.50484,8.1905,-0.03834,-1.2354
0.6607,81.4205,-0.0027,0.6607,1.50682,8.2952,-0.03907,-0.6042
0.6579,82.0784,-0.0028,0.6579,1.50877,8.3996,-0.03779,-0.5222
0.6551,82.7335,-0.0028,0.6551,1.51069,8.5039,-0.03751,-0.5404
0.6551,83.3886,0,0.6551,1.51259,8.5039,-0.06551,-0.5404
0.6522,84.0408,-0.0029,0.6522,1.51445,8.6079,-0.03622,-0.5014
0.6496,84.6904,-0.0026,0.6496,1.51629,8.7115,-0.03896,-1.2014
0.6475,85.3379,-0.0021,0.6475,1.5181,8.8151,-0.04375,-0.4692
0.6459,85.9838,-0.0016,0.6459,1.51988,8.9185,-0.04859,-0.5377
0.6449,86.6287,-0.001,0.6449,1.52164,9.0217,-0.05449,-0.6574
0.6449,87.2736,0,0.6449,1.52339,9.0217,-0.06449,-0.6574
0.6447,87.9183,-0.0002,0.6447,1.52512,9.1246,-0.06247,-0.9259
0.6455,88.5638,0.0008,0.6455,1.52684,9.2272,-0.07255,-1.1759
0.6476,89.2114,0.0021,0.6476,1.52856,9.3297,-0.08576,-1.1254
0.6489,89.8603,0.0013,0.6489,1.53027,9.4319,-0.07789,-1.3774
0.6423,90.5026,-0.0066,0.6423,1.53194,9.5337,0.00177,-1.7077
0.6423,91.1449,0,0.6423,1.53359,9.5337,-0.06423,-1.7077
0.6402,91.7851,-0.0021,0.6402,1.53521,9.635,-0.04302,0.4806
0.6386,92.4237,-0.0016,0.6386,1.53682,9.7366,-0.04786,-1.1694
0.6375,93.0612,-0.0011,0.6375,1.5384,9.8381,-0.05275,-0.6392
0.6368,93.698,-0.0007,0.6368,1.53998,9.9394,-0.05668,-0.7602
0.6365,94.3345,-0.0003,0.6365,1.54153,10.0404,-0.06065,-0.8824
0.6365,94.971,0,0.6365,1.54308,10.0404,-0.06365,-0.8824
0.6364,95.6074,-0.0001,0.6364,1.54462,10.1412,-0.06264,-1.0799
0.6366,96.244,0.0002,0.6366,1.54614,10.2418,-0.06566,-1.1549
0.6369,96.8809,0.0003,0.6369,1.54765,10.3422,-0.06669,-1.1297
0.6373,97.5182,0.0004,0.6373,1.54916,10.4423,-0.06773,-1.2052
0.6378,98.156,0.0005,0.6378,1.55065,10.5423,-0.06878,-1.2309
0.6383,98.7943,0.0005,0.6383,1.55214,10.6421,-0.06883,-1.2569
0.6389,99.4332,0.0006,0.6389,1.55362,10.7416,-0.06989,-1.2832
0.6395,100.073,0.0006,0.6395,1.55509,10.841,-0.06995,-1.2844
0.6399,100.713,0.0004,0.6399,1.55655,10.9402,-0.06799,-1.3109
0.6403,101.353,0.0004,0.6403,1.55801,11.0391,-0.06803,-1.3124
0.6403,101.993,0,0.6403,1.55945,11.0391,-0.06403,-1.3124
0.6406,102.634,0.0003,0.6406,1.56088,11.1379,-0.06706,-1.2644
0.6408,103.275,0.0002,0.6408,1.56231,11.2365,-0.06608,-1.1644
0.641,103.916,0.0002,0.641,1.56373,11.3784,-0.0661,-1.2402
0.641,104.557,0,0.641,1.56513,11.3553,-0.0641,-1.2157
0.6411,105.198,0.0001,0.6411,1.56653,11.7018,-0.06511,-1.2162
0.6411,105.839,0,0.6411,1.56792,11.7018,-0.06411,-1.2162
0.641,106.48,-0.0001,0.641,1.5693,11.2411,-0.0631,-1.1914
0.6409,107.121,-0.0001,0.6409,1.57067,11.7197,-0.06309,-1.1664
0.6407,107.761,-0.0002,0.6407,1.57203,11.8304,-0.06207,-1.1412
0.6405,108.402,-0.0002,0.6405,1.57338,11.7463,-0.06205,-1.1409
0.6401,109.042,-0.0004,0.6401,1.57472,11.8609,-0.06001,-1.1154
0.6401,109.682,0,0.6401,1.57605,11.8609,-0.06401,-1.1154
0.6397,110.322,-0.0004,0.6397,1.57737,12.2657,-0.05997,-1.0639
0.6393,110.961,-0.0004,0.6393,1.57868,11.8406,-0.05993,-1.1639
0.6388,111.6,-0.0005,0.6388,1.57998,12.3457,-0.05888,-1.0629
0.6382,112.238,-0.0006,0.6382,1.58126,12.3388,-0.05782,-1.0619
0.6375,112.876,-0.0007,0.6375,1.58254,12.424,-0.05675,-1.0357
0.6375,113.513,0,0.6375,1.58381,12.424,-0.06375,-1.0357
0.6368,114.15,-0.0007,0.6368,1.58507,12.5224,-0.05668,-0.9824
0.636,114.786,-0.0008,0.636,1.58632,12.7851,-0.0556,-1.1574
0.6351,115.421,-0.0009,0.6351,1.58756,12.5762,-0.05451,-0.9807
0.6341,116.055,-0.001,0.6341,1.58878,13.0342,-0.05341,-0.9537
0.6331,116.688,-0.001,0.6331,1.59,12.6195,-0.05331,-0.9264
0.6331,117.321,0,0.6331,1.59121,12.6195,-0.06331,-0.9264
0.632,117.953,-0.0011,0.632,1.5924,13.1162,-0.0522,-0.8964
0.6308,118.584,-0.0012,0.6308,1.59359,13.0853,-0.05108,-1.1464
0.6295,119.214,-0.0013,0.6295,1.59476,13.2181,-0.04995,-0.8687
