P,I,D,CTE,Total Error,Speed,Steer Value,Steering Angle
0.5745,355.131,0.0129,0.5745,1.72231,44.745,-0.18645,-18.6177
0.5847,355.716,0.0102,0.5847,1.72252,44.7407,-0.16047,-0.9677
0.5913,356.307,0.0066,0.5913,1.72274,44.7709,-0.12513,-4.2249
0.5944,356.901,0.0031,0.5944,1.72295,44.8003,-0.09044,-3.5754
0.5942,357.496,-0.0002,0.5942,1.72316,44.8302,-0.05742,-2.6919
0.5911,358.087,-0.0031,0.5911,1.72338,44.8601,-0.02811,-1.8247
0.5853,358.672,-0.0058,0.5853,1.72358,44.8893,-0.00053,-0.9992
0.5853,359.257,0,0.5853,1.72379,44.8893,-0.05853,-0.9992
0.5774,359.835,-0.0079,0.5774,1.72399,44.9166,0.02126,0.4231
0.5671,360.402,-0.0103,0.5671,1.72419,44.9446,0.04629,-1.0269
0.555,360.957,-0.0121,0.555,1.72437,44.9717,0.0655,0.9678
0.5416,361.498,-0.0134,0.5416,1.72455,44.9964,0.07984,1.5936
0.5271,362.026,-0.0145,0.5271,1.72472,45.0202,0.09229,2.0738
0.5271,362.553,0,0.5271,1.72488,45.0202,-0.05271,2.0738
0.5119,363.065,-0.0152,0.5119,1.72504,45.0425,0.10081,2.7436
0.4951,363.56,-0.0168,0.4951,1.72519,45.0687,0.11849,-0.8814
0.478,364.038,-0.0171,0.478,1.72532,45.0928,0.1232,2.9566
0.4609,364.499,-0.0171,0.4609,1.72545,45.1139,0.12491,3.3986
0.444,364.943,-0.0169,0.444,1.72557,45.1354,0.1246,3.5163
0.444,365.387,0,0.444,1.72568,45.1354,-0.0444,3.5163
0.4274,365.814,-0.0166,0.4274,1.72579,45.1575,0.12326,3.5513
0.4102,366.224,-0.0172,0.4102,1.72589,45.1833,0.13098,-0.6737
0.3936,366.618,-0.0166,0.3936,1.72599,45.2072,0.12664,3.5178
0.3778,366.996,-0.0158,0.3778,1.72607,45.2296,0.12022,3.7108
0.3629,367.358,-0.0149,0.3629,1.72615,45.253,0.11271,3.6023
0.3629,367.721,0,0.3629,1.72623,45.253,-0.03629,3.6023
0.349,368.07,-0.0139,0.349,1.7263,45.2775,0.1041,3.2541
0.3352,368.406,-0.0138,0.3352,1.72636,45.3037,0.10448,-0.4709
0.3223,368.728,-0.0129,0.3223,1.72643,45.329,0.09677,3.0388
0.3142,369.042,-0.0081,0.3142,1.72648,45.3544,0.04958,3.0483
0.3145,369.357,0.0003,0.3145,1.72654,45.3802,-0.03445,2.8556
0.3145,369.671,0,0.3145,1.7266,45.3802,-0.03145,2.8556
0.3218,369.993,0.0073,0.3218,1.72666,45.4065,-0.10518,-0.4249
0.3359,370.329,0.0141,0.3359,1.72673,45.4329,-0.17459,-0.3499
0.3503,370.679,0.0144,0.3503,1.7268,45.4559,-0.17903,-2.1932
0.3637,371.043,0.0134,0.3637,1.72688,45.4722,-0.17037,-3.9284
0.3758,371.419,0.0121,0.3758,1.72696,45.4877,-0.15858,-4.0394
0.3758,371.794,0,0.3758,1.72704,45.4877,-0.03758,-4.0394
0.3867,372.181,0.0109,0.3867,1.72713,45.5067,-0.14767,-3.5282
0.3972,372.578,0.0105,0.3972,1.72722,45.5325,-0.14472,-0.5032
0.4065,372.985,0.0093,0.4065,1.72732,45.5555,-0.13365,-3.2554
0.4143,373.399,0.0078,0.4143,1.72742,45.5778,-0.11943,-3.1817
0.4208,373.82,0.0065,0.4208,1.72752,45.6015,-0.10708,-2.9049
0.4208,374.241,0,0.4208,1.72762,45.6015,-0.04208,-2.9049
0.4261,374.667,0.0053,0.4261,1.72773,45.6268,-0.09561,-2.2407
0.4305,375.097,0.0044,0.4305,1.72783,45.6537,-0.08705,-0.6157
0.4337,375.531,0.0032,0.4337,1.72794,45.68,-0.07537,-1.9539
0.4358,375.967,0.0021,0.4358,1.72805,45.7063,-0.06458,-1.7399
0.4366,376.403,0.0008,0.4366,1.72816,45.7329,-0.05166,-1.4479
0.4366,376.84,0,0.4366,1.72827,45.7329,-0.04366,-1.4479
0.4365,377.276,-0.0001,0.4365,1.72838,45.7598,-0.04265,-0.8552
0.4355,377.712,-0.001,0.4355,1.72849,45.7866,-0.03355,-0.6552
0.4335,378.145,-0.002,0.4335,1.7286,45.8135,-0.02335,-0.6299
0.4306,378.576,-0.0029,0.4306,1.7287,45.8403,-0.01406,-0.4024
0.4271,379.003,-0.0035,0.4271,1.72881,45.867,-0.00771,-0.1474
0.4271,379.43,0,0.4271,1.72891,45.867,-0.04271,-0.1474
0.4229,379.853,-0.0042,0.4229,1.72901,45.8934,-0.00029,0.2436
0.4179,380.271,-0.005,0.4179,1.72911,45.9199,0.00821,-0.6314
0.4123,380.683,-0.0056,0.4123,1.72921,45.9462,0.01477,0.4291
0.4064,381.09,-0.0059,0.4064,1.7293,45.9722,0.01836,0.6416
0.4002,381.49,-0.0062,0.4002,1.72939,45.9982,0.02198,0.8056
0.4002,381.89,0,0.4002,1.72949,45.9982,-0.04002,0.8056
0.3938,382.284,-0.0064,0.3938,1.72957,46.0239,0.02462,0.9858
0.3869,382.671,-0.0069,0.3869,1.72966,46.0498,0.03031,-0.5642
0.3798,383.051,-0.0071,0.3798,1.72974,46.0756,0.03302,1.0518
0.3728,383.423,-0.007,0.3728,1.72982,46.101,0.03272,1.1941
0.3658,383.789,-0.007,0.3658,1.72989,46.1264,0.03342,1.2618
0.3658,384.155,0,0.3658,1.72997,46.1264,-0.03658,1.2618
0.3591,384.514,-0.0067,0.3591,1.73004,46.1517,0.03109,1.2718
0.3578,384.872,-0.0013,0.3578,1.73011,46.1773,-0.02278,-0.4782
0.4025,385.274,0.0447,0.4025,1.73021,46.2028,-0.48725,1.2136
0.4014,385.676,-0.0011,0.4014,1.7303,46.2284,-0.02914,-0.1332
0.429,386.105,0.0276,0.429,1.7304,46.2032,-0.3189,-11.7449
0.429,386.534,0,0.429,1.7305,46.2032,-0.0429,-11.7449
0.4634,386.997,0.0344,0.4634,1.73062,46.1858,-0.39034,-7.5362
0.5001,387.497,0.0367,0.5001,1.73076,46.2066,-0.41701,-0.6362
0.5331,388.03,0.033,0.5331,1.73092,46.1982,-0.38331,-9.3222
0.5616,388.592,0.0285,0.5616,1.7311,46.178,-0.34116,-9.9889
0.5857,389.178,0.0241,0.5857,1.73129,46.1673,-0.29957,-9.1464
0.5857,389.763,0,0.5857,1.73148,46.1673,-0.05857,-9.1464
0.6057,390.369,0.02,0.6057,1.73168,46.1747,-0.26057,-7.0529
0.6232,390.992,0.0175,0.6232,1.7319,46.199,-0.23732,-1.0279
0.6369,391.629,0.0137,0.6369,1.73212,46.2164,-0.20069,-6.0779
0.6467,392.276,0.0098,0.6467,1.73235,46.2355,-0.16267,-5.4967
0.6528,392.929,0.0061,0.6528,1.73259,46.2581,-0.12628,-4.5809
0.6528,393.582,0,0.6528,1.73282,46.2581,-0.06528,-4.5809
0.6556,394.237,0.0028,0.6556,1.73306,46.2842,-0.09356,-2.7207
0.6558,394.893,0.0002,0.6558,1.7333,46.3108,-0.06758,-1.1957
0.653,395.546,-0.0028,0.653,1.73353,46.3369,-0.0373,-1.9027
0.6476,396.194,-0.0054,0.6476,1.73376,46.3634,-0.01076,-1.2532
0.6398,396.833,-0.0078,0.6398,1.73399,46.3893,0.01402,-0.4962
0.6398,397.473,0,0.6398,1.73421,46.3893,-0.06398,-0.4962
0.6301,398.103,-0.0097,0.6301,1.73443,46.4135,0.03399,0.7868
0.6181,398.721,-0.012,0.6181,1.73464,46.4384,0.05819,-1.1632
0.6046,399.326,-0.0135,0.6046,1.73484,46.4625,0.07454,1.2861
0.59,399.916,-0.0146,0.59,1.73503,46.4844,0.087,1.8911
0.5745,400.49,-0.0155,0.5745,1.73521,46.5054,0.09755,2.2998
0.5585,401.049,-0.016,0.5585,1.73538,46.526,0.10415,2.6113
0.5585,401.607,0,0.5585,1.73555,46.526,-0.05585,2.6113
0.5423,402.15,-0.0162,0.5423,1.73571,46.5459,0.10777,3.0401
0.5247,402.674,-0.0176,0.5247,1.73586,46.5688,0.12353,-0.9599
0.5072,403.182,-0.0175,0.5072,1.736,46.5901,0.12428,3.1306
0.4901,403.672,-0.0171,0.4901,1.73613,46.6092,0.12199,3.5246
0.4901,404.162,0,0.4901,1.73626,46.6092,-0.04901,3.5246
0.4424,404.604,-0.0477,0.4424,1.73637,46.6699,0.43276,3.4861
0.427,405.031,-0.0154,0.427,1.73647,46.6924,0.1113,-0.7889
0.415,405.446,-0.012,0.415,1.73656,46.6717,0.0785,11.2553
0.415,405.861,0,0.415,1.73665,46.6717,-0.0415,11.2553
0.4041,406.265,-0.0109,0.4041,1.73674,46.681,0.06859,2.3988
0.3934,406.659,-0.0107,0.3934,1.73682,46.7051,0.06766,-0.6012
0.3839,407.043,-0.0095,0.3839,1.7369,46.7287,0.05661,2.1511
0.3754,407.418,-0.0085,0.3754,1.73698,46.753,0.04746,2.1278
0.3681,407.786,-0.0073,0.3681,1.73705,46.7774,0.03619,1.8516
0.362,408.148,-0.0061,0.362,1.73712,46.802,0.0248,1.6228
0.362,408.51,0,0.362,1.73719,46.802,-0.0362,1.6228
0.3568,408.867,-0.0052,0.3568,1.73726,46.8267,0.01632,1.0563
0.3522,409.219,-0.0046,0.3522,1.73732,46.8504,0.01078,-0.4687
0.3485,409.568,-0.0037,0.3485,1.73739,46.8745,0.00215,0.8443
0.3456,409.913,-0.0029,0.3456,1.73745,46.8991,-0.00556,0.7058
0.3456,410.259,0,0.3456,1.73752,46.8991,-0.03456,0.7058
0.3435,410.602,-0.0021,0.3435,1.73758,46.9235,-0.01335,0.2973
0.3419,410.944,-0.0016,0.3419,1.73764,46.9474,-0.01819,-0.4277
0.3409,411.285,-0.001,0.3409,1.7377,46.9715,-0.02409,0.1026
0.3407,411.626,-0.0002,0.3407,1.73777,47.0198,-0.03207,-0.0184
0.3407,411.967,0,0.3407,1.73783,47.0198,-0.03407,-0.0184
0.3413,412.308,0.0006,0.3413,1.73789,47.0437,-0.04013,-0.3654
0.3422,412.65,0.0009,0.3422,1.73795,47.0676,-0.04322,-0.4154
0.3434,412.993,0.0012,0.3434,1.73801,47.0913,-0.04634,-0.5669
0.3448,413.338,0.0014,0.3448,1.73808,47.1151,-0.04848,-0.6442
0.3464,413.685,0.0016,0.3464,1.73814,47.1387,-0.05064,-0.7222
0.3464,414.031,0,0.3464,1.7382,47.1387,-0.03464,-0.7222
0.348,414.379,0.0016,0.348,1.73827,47.1622,-0.0508,-0.8297
0.3498,414.729,0.0018,0.3498,1.73833,47.1859,-0.05298,-0.4297
0.3515,415.08,0.0017,0.3515,1.73839,47.2094,-0.05215,-0.8337
0.3532,415.434,0.0017,0.3532,1.73846,47.2327,-0.05232,-0.8882
0.3575,415.791,0.0043,0.3575,1.73853,47.2562,-0.07875,-0.8674
0.3575,416.149,0,0.3575,1.73859,47.2562,-0.03575,-0.8674
0.3742,416.523,0.0167,0.3742,1.73867,47.2791,-0.20442,-1.5324
0.4222,416.945,0.048,0.4222,1.73876,47.3025,-0.52222,-0.4574
0.4104,417.355,-0.0118,0.4104,1.73885,47.3167,0.07696,-4.6742
0.4533,417.809,0.0429,0.4533,1.73895,47.2849,-0.47433,-12.6192
0.497,418.306,0.0437,0.497,1.73908,47.2852,-0.4867,2.3603
0.497,418.803,0,0.497,1.73921,47.2852,-0.0497,2.3603
0.5366,419.339,0.0396,0.5366,1.73936,47.2589,-0.44966,-11.7312
0.5751,419.914,0.0385,0.5751,1.73953,47.267,-0.44251,-0.8062
0.6091,420.523,0.034,0.6091,1.73972,47.2495,-0.40091,-10.8052
0.6383,421.162,0.0292,0.6383,1.73994,47.2237,-0.35583,-10.6264
0.6626,421.824,0.0243,0.6626,1.74016,47.2108,-0.30926,-9.5864
0.6626,422.487,0,0.6626,1.74039,47.2108,-0.06626,-9.5864
0.6824,423.169,0.0198,0.6824,1.74063,47.2173,-0.26624,-7.2952
0.6994,423.869,0.017,0.6994,1.74088,47.2397,-0.23994,-1.2202
0.7122,424.581,0.0128,0.7122,1.74114,47.2556,-0.19922,-6.2197
0.7207,425.302,0.0085,0.7207,1.74141,47.2738,-0.15707,-5.5622
0.7252,426.027,0.0045,0.7252,1.74168,47.2953,-0.11752,-4.5442
0.7252,426.752,0,0.7252,1.74195,47.2953,-0.07252,-4.5442
0.7263,427.478,0.0011,0.7263,1.74222,47.3198,-0.08363,-2.5017
0.7243,428.203,-0.002,0.7243,1.74249,47.3443,-0.05243,-1.3767
0.7192,428.922,-0.0051,0.7192,1.74275,47.3685,-0.02092,-1.6544
0.7112,429.633,-0.008,0.7112,1.74301,47.3927,0.00888,-0.8744
0.7008,430.334,-0.0104,0.7008,1.74326,47.4159,0.03392,-0.0867
0.7008,431.035,0,0.7008,1.74351,47.4159,-0.07008,-0.0867
0.6885,431.723,-0.0123,0.6885,1.74376,47.4367,0.05415,1.2843
0.6736,432.397,-0.0149,0.6736,1.74399,47.4588,0.08164,-1.3157
0.6572,433.054,-0.0164,0.6572,1.74421,47.4799,0.09828,1.7901
0.6398,433.694,-0.0174,0.6398,1.74441,47.4976,0.11002,2.4773
0.6216,434.315,-0.0182,0.6216,1.74461,47.5145,0.11984,2.8933
0.6216,434.937,0,0.6216,1.74481,47.5145,-0.06216,2.8933
0.6099,435.547,-0.0117,0.6099,1.745,47.5302,0.05601,3.4323
0.6175,436.164,0.0076,0.6175,1.74519,47.5505,-0.13775,-1.1177
0.645,436.809,0.0275,0.645,1.7454,47.5723,-0.3395,1.8366
0.6834,437.493,0.0384,0.6834,1.74563,47.5896,-0.45234,-3.0074
0.7194,438.212,0.036,0.7194,1.7459,47.5802,-0.43194,-8.0512
0.7194,438.932,0,0.7194,1.74616,47.5802,-0.07194,-8.0512
0.7508,439.682,0.0314,0.7508,1.74644,47.5507,-0.38908,-10.3622
0.7799,440.462,0.0291,0.7799,1.74675,47.5618,-0.36899,-1.3622
0.8041,441.266,0.0242,0.8041,1.74707,47.551,-0.32241,-9.2907
0.8234,442.09,0.0193,0.8234,1.74741,47.5375,-0.27534,-8.7884
0.8378,442.928,0.0144,0.8378,1.74776,47.5365,-0.22778,-7.6239
0.8378,443.765,0,0.8378,1.74811,47.5365,-0.08378,-7.6239
0.8479,444.613,0.0101,0.8479,1.74847,47.551,-0.18579,-5.2582
0.8547,445.468,0.0068,0.8547,1.74884,47.5743,-0.15347,-1.6582
0.8575,446.325,0.0028,0.8575,1.74921,47.5948,-0.11375,-4.2084
0.8565,447.182,-0.001,0.8565,1.74957,47.6168,-0.07565,-3.4004
0.8521,448.034,-0.0044,0.8521,1.74994,47.6402,-0.04121,-2.4074
0.8521,448.886,0,0.8521,1.7503,47.6402,-0.08521,-2.4074
0.8447,449.731,-0.0074,0.8447,1.75065,47.6639,-0.01047,-0.5939
0.8343,450.565,-0.0104,0.8343,1.751,47.6869,0.02057,-1.6939
0.8213,451.386,-0.013,0.8213,1.75133,47.7099,0.04787,0.1746
0.8062,452.193,-0.0151,0.8062,1.75166,47.7314,0.07038,0.9506
0.7894,452.982,-0.0168,0.7894,1.75196,47.7514,0.08906,1.6331
0.7894,453.771,0,0.7894,1.75227,47.7514,-0.07894,1.6331
0.7715,454.543,-0.0179,0.7715,1.75257,47.7689,0.10185,2.6628
0.7513,455.294,-0.0202,0.7513,1.75285,47.7889,0.12687,-1.5372
0.7304,456.025,-0.0209,0.7304,1.75311,47.8072,0.13596,2.9826
0.7091,456.734,-0.0213,0.7091,1.75336,47.822,0.14209,3.6081
0.6878,457.422,-0.0213,0.6878,1.75359,47.8368,0.14422,3.8353
0.6878,458.109,0,0.6878,1.75382,47.8368,-0.06878,3.8353
0.6668,458.776,-0.021,0.6668,1.75404,47.8515,0.14332,4.0418
0.6446,459.421,-0.0222,0.6446,1.75425,47.8701,0.15754,-1.2832
0.623,460.044,-0.0216,0.623,1.75444,47.8865,0.1537,4.0193
0.6022,460.646,-0.0208,0.6022,1.75461,47.9011,0.14778,4.3748
0.5825,461.228,-0.0197,0.5825,1.75478,47.9166,0.13875,4.2788
0.5825,461.811,0,0.5825,1.75495,47.9166,-0.05825,4.2788
0.564,462.375,-0.0185,0.564,1.7551,47.9338,0.1286,3.9051
0.5452,462.92,-0.0188,0.5452,1.75525,47.9528,0.13348,-1.0199
0.5293,463.449,-0.0159,0.5293,1.75538,47.971,0.10607,3.6513
0.5308,463.98,0.0015,0.5308,1.75552,47.9893,-0.06808,3.7733
0.5593,464.54,0.0285,0.5593,1.75567,48.0091,-0.34093,3.0881
0.5593,465.099,0,0.5593,1.75582,48.0091,-0.05593,3.0881
0.6125,465.711,0.0532,0.6125,1.75601,47.9934,-0.59325,-8.0869
0.672,466.383,0.0595,0.672,1.75623,48.0012,-0.6622,-0.9619
0.7287,467.112,0.0567,0.7287,1.75648,47.9685,-0.63987,-14.3949
0.7818,467.894,0.0531,0.7818,1.75678,47.9017,-0.60918,-16.1187
0.8307,468.725,0.0489,0.8307,1.75711,47.8287,-0.57207,-15.5604
0.8307,469.555,0,0.8307,1.75745,47.8287,-0.08307,-15.5604
0.8748,470.43,0.0441,0.8748,1.75782,47.7646,-0.52848,-13.8654
0.9166,471.347,0.0418,0.9166,1.75822,47.7682,-0.50966,-1.6404
0.953,472.3,0.0364,0.953,1.75866,47.7383,-0.4593,-12.7757
0.9834,473.283,0.0304,0.9834,1.75913,47.6973,-0.40234,-12.3052
1.0076,474.291,0.0242,1.0076,1.75962,47.6719,-0.34276,-11.0462
1.0076,475.298,0,1.0076,1.7601,47.6719,-0.10076,-11.0462
1.0263,476.325,0.0187,1.0263,1.76061,47.6733,-0.28963,-8.1327
1.0411,477.366,0.0148,1.0411,1.76113,47.6955,-0.25211,-2.0827
1.0507,478.416,0.0096,1.0507,1.76166,47.71,-0.20107,-6.8044
1.0552,479.472,0.0045,1.0552,1.76219,47.7275,-0.15052,-5.8664
1.0549,480.526,-0.0003,1.0549,1.76272,47.7491,-0.10249,-4.5904
1.0549,481.581,0,1.0549,1.76326,47.7491,-0.10549,-4.5904
1.0505,482.632,-0.0044,1.0505,1.76378,47.7735,-0.06105,-2.1259
1.0421,483.674,-0.0084,1.0421,1.7643,47.7975,-0.02021,-2.2009
1.0301,484.704,-0.012,1.0301,1.76481,47.8213,0.01699,-1.0899
1.015,485.719,-0.0151,1.015,1.7653,47.8436,0.0495,-0.0689
0.9971,486.716,-0.0179,0.9971,1.76577,47.8641,0.07929,0.8611
0.9971,487.713,0,0.9971,1.76624,47.8641,-0.09971,0.8611
0.9774,488.691,-0.0197,0.9774,1.7667,47.8803,0.09926,2.4186
0.963,489.654,-0.0144,0.963,1.76714,47.8998,0.0477,-2.0564
0.9635,490.617,0.0005,0.9635,1.76758,47.9168,-0.10135,2.9178
0.9793,491.596,0.0158,0.9793,1.76803,47.9349,-0.25593,1.6288
1.0024,492.599,0.0231,1.0024,1.76851,47.9548,-0.33124,-2.0974
1.0396,493.638,0.0372,1.0396,1.76902,47.9655,-0.47596,-5.9619
1.0512,494.69,0.0116,1.0512,1.76954,47.9602,-0.22112,-7.8447
1.0566,495.746,0.0054,1.0566,1.77007,47.9292,-0.15966,-11.4627
1.0575,496.804,0.0009,1.0575,1.77059,47.9339,-0.11475,-5.0917
1.0575,497.861,0,1.0575,1.77112,47.9339,-0.10575,-5.0917
1.0546,498.916,-0.0029,1.0546,1.77164,47.9563,-0.07646,-2.4324
1.048,499.964,-0.0066,1.048,1.77216,47.9791,-0.0388,-2.2074
1.0381,501.002,-0.0099,1.0381,1.77266,48.0022,-0.00481,-1.4752
1.025,502.027,-0.0131,1.025,1.77316,48.0251,0.0285,-0.5337
1.0094,503.036,-0.0156,1.0094,1.77363,48.047,0.05506,0.3161
1.0094,504.046,0,1.0094,1.77411,48.047,-0.10094,0.3161
0.9918,505.038,-0.0176,0.9918,1.77457,48.0662,0.07682,1.8128
0.9713,506.009,-0.0205,0.9713,1.77501,48.0859,0.10787,-2.0872
0.9492,506.958,-0.0221,0.9492,1.77543,48.1047,0.12608,2.3568
0.9261,507.884,-0.0231,0.9261,1.77583,48.12,0.13839,3.1331
0.9024,508.787,-0.0237,0.9024,1.77621,48.134,0.14676,3.5883
0.9024,509.689,0,0.9024,1.77659,48.134,-0.09024,3.5883
0.8786,510.568,-0.0238,0.8786,1.77695,48.1469,0.15014,4.1053
0.8529,511.42,-0.0257,0.8529,1.77729,48.1636,0.17171,-1.8197
0.8274,512.248,-0.0255,0.8274,1.77761,48.1781,0.17226,4.1898
0.8024,513.05,-0.025,0.8024,1.7779,48.1897,0.16976,4.7291
0.7783,513.829,-0.0241,0.7783,1.77819,48.2019,0.16317,4.7428
0.7783,514.607,0,0.7783,1.77847,48.2019,-0.07783,4.7428
0.7553,515.362,-0.023,0.7553,1.77873,48.2158,0.15447,4.5156
0.7315,516.094,-0.0238,0.7315,1.77898,48.2323,0.16485,-1.5094
0.7089,516.803,-0.0226,0.7089,1.77921,48.2476,0.15511,4.2981
0.6877,517.49,-0.0212,0.6877,1.77943,48.2625,0.14323,4.5576
0.6681,518.158,-0.0196,0.6681,1.77963,48.2785,0.12919,4.3141
0.6681,518.826,0,0.6681,1.77984,48.2785,-0.06681,4.3141
0.65,519.476,-0.0181,0.65,1.78003,48.2967,0.116,3.6661
0.6321,520.109,-0.0179,0.6321,1.78022,48.3144,0.11579,-1.2339
0.6157,520.724,-0.0164,0.6157,1.78039,48.3326,0.10243,3.3363
0.6008,521.325,-0.0149,0.6008,1.78056,48.3518,0.08892,3.3311
0.5877,521.913,-0.0131,0.5877,1.78071,48.3716,0.07223,2.9971
0.5877,522.5,0,0.5877,1.78087,48.3716,-0.05877,2.9971
0.576,523.076,-0.0117,0.576,1.78102,48.3924,0.0594,2.2421
0.5649,523.641,-0.0111,0.5649,1.78117,48.4115,0.05451,-1.0329
0.5643,524.206,-0.0006,0.5643,1.78132,48.4315,-0.05043,1.9213
0.5944,524.8,0.0301,0.5944,1.78148,48.4526,-0.36044,1.7991
0.6516,525.452,0.0572,0.6516,1.78167,48.4724,-0.63716,-0.8244
0.6516,526.103,0,0.6516,1.78186,48.4724,-0.06516,-0.8244
0.7435,526.847,0.0919,0.7435,1.78212,48.4408,-0.99335,-15.4927
0.8435,527.69,0.1,0.8435,1.78244,48.4204,-1.08435,-1.1927
0.9409,528.631,0.0974,0.9409,1.78284,48.4101,-1.06809,-24.3974
1.0352,529.666,0.0943,1.0352,1.78333,48.2954,-1.04652,-25
1.126,530.792,0.0908,1.126,1.7839,48.1913,-1.0206,-25
1.126,531.918,0,1.126,1.78448,48.1913,-0.1126,-25
1.2125,533.131,0.0865,1.2125,1.78514,48.0875,-0.98625,-25
1.2969,534.428,0.0844,1.2969,1.7859,48.0315,-0.97369,-2.3787
1.3763,535.804,0.0794,1.3763,1.78676,48.0054,-0.93163,-24.2199
1.4502,537.254,0.0739,1.4502,1.78771,47.8998,-0.88402,-23.9059
1.518,538.772,0.0678,1.518,1.78874,47.8018,-0.8298,-22.8544
1.518,540.29,0,1.518,1.78978,47.8018,-0.1518,-22.8544
1.5789,541.869,0.0609,1.5789,1.7909,47.7053,-0.76689,-20.3087
1.6356,543.505,0.0567,1.6356,1.79211,47.6925,-0.73056,-3.3587
1.6848,545.19,0.0492,1.6848,1.79338,47.6475,-0.66048,-18.7359
1.7259,546.915,0.0411,1.7259,1.79472,47.5753,-0.58359,-17.8277
1.7582,548.674,0.0323,1.7582,1.79611,47.5143,-0.49882,-16.0757
1.7582,550.432,0,1.7582,1.79749,47.5143,-0.17582,-16.0757
1.7823,552.214,0.0241,1.7823,1.79891,47.4926,-0.41923,-12.0342
1.8002,554.014,0.0179,1.8002,1.80036,47.5148,-0.35902,-3.9592
1.8103,555.825,0.0101,1.8103,1.80183,47.5208,-0.28203,-10.0444
1.8127,557.637,0.0024,1.8127,1.80329,47.5345,-0.20527,-8.5392
1.808,559.445,-0.0047,1.808,1.80475,47.5568,-0.1338,-6.6144
1.808,561.253,0,1.808,1.80621,47.5568,-0.1808,-6.6144
1.7973,563.051,-0.0107,1.7973,1.80765,47.5842,-0.07273,-2.9087
1.7803,564.831,-0.017,1.7803,1.80906,47.6102,-0.00803,-4.0837
1.758,566.589,-0.0223,1.758,1.81043,47.637,0.0472,-1.3819
1.7312,568.32,-0.0268,1.7312,1.81176,47.658,0.09488,0.2356
1.7055,570.026,-0.0257,1.7055,1.81305,47.6742,0.08645,1.6163
1.7055,571.731,0,1.7055,1.81434,47.6742,-0.17055,1.6163
1.6938,573.425,-0.0117,1.6938,1.81561,47.6867,-0.05238,2.5976
1.6889,575.114,-0.0049,1.6889,1.81687,47.7033,-0.11989,-3.8274
1.6926,576.806,0.0037,1.6926,1.81814,47.7273,-0.20626,-0.8732
1.687,578.493,-0.0056,1.687,1.8194,47.7737,-0.1127,-2.5609
1.6772,580.171,-0.0098,1.6772,1.82064,47.7898,-0.06972,-4.7202
1.6633,581.834,-0.0139,1.6633,1.82186,47.8109,-0.02733,-2.3812
1.6456,583.48,-0.0177,1.6456,1.82305,47.8336,0.01244,-1.3067
1.6246,585.104,-0.021,1.6246,1.82421,47.8564,0.04754,-0.2469
1.6008,586.705,-0.0238,1.6008,1.82534,47.8782,0.07792,0.7473
1.6008,588.306,0,1.6008,1.82647,47.8782,-0.16008,0.7473
1.575,589.881,-0.0258,1.575,1.82755,47.8969,0.1005,2.3843
1.5455,591.426,-0.0295,1.5455,1.8286,47.9124,0.14045,-3.5657
1.5144,592.941,-0.0311,1.5144,1.82961,47.9298,0.15956,2.9488
1.4824,594.423,-0.032,1.4824,1.83057,47.9431,0.17176,3.9476
1.4498,595.873,-0.0326,1.4498,1.83149,47.9548,0.18102,4.4253
1.4498,597.323,0,1.4498,1.83241,47.9548,-0.14498,4.4253
1.4173,598.74,-0.0325,1.4173,1.83328,47.9652,0.18327,4.9618
1.3824,600.122,-0.0349,1.3824,1.83412,47.9767,0.21076,-3.1882
1.3478,601.47,-0.0346,1.3478,1.83491,47.988,0.21122,5.0181
1.3141,602.784,-0.0337,1.3141,1.83566,47.9966,0.20559,5.7053
1.2816,604.066,-0.0325,1.2816,1.83638,48.0045,0.19684,5.7168
1.2816,605.347,0,1.2816,1.83709,48.0045,-0.12816,5.7168
1.2627,606.61,-0.0189,1.2627,1.83778,48.0154,0.06273,5.3573
1.2707,607.881,0.008,1.2707,1.83848,48.0258,-0.20707,-2.7677
1.3061,609.187,0.0354,1.3061,1.83922,48.044,-0.48461,2.0046
1.3596,610.547,0.0535,1.3596,1.84003,48.0483,-0.67096,-4.7404
1.4168,611.963,0.0572,1.4168,1.84089,48.0131,-0.71368,-11.6789
1.4168,613.38,0,1.4168,1.84176,48.0131,-0.14168,-11.6789
1.5213,614.901,0.1045,1.5213,1.84276,47.933,-1.19713,-3.1057
1.5704,616.472,0.0491,1.5704,1.84383,47.9512,-0.64804,-3.1057
1.615,618.087,0.0446,1.615,1.84495,47.9333,-0.6075,-25
1.6545,619.741,0.0395,1.6545,1.84613,47.8058,-0.56045,-15.7647
1.6545,621.396,0,1.6545,1.84731,47.8058,-0.16545,-15.7647
1.6882,623.084,0.0337,1.6882,1.84854,47.7461,-0.50582,-13.5749
1.7182,624.802,0.03,1.7182,1.84981,47.7515,-0.47182,-3.6999
1.7419,626.544,0.0237,1.7419,1.85111,47.7266,-0.41119,-12.2092
1.7591,628.303,0.0172,1.7591,1.85244,47.6982,-0.34791,-11.3592
1.7697,630.073,0.0106,1.7697,1.85378,47.6877,-0.28297,-9.8434
1.7697,631.843,0,1.7697,1.85512,47.6877,-0.17697,-9.8434
1.7747,633.617,0.005,1.7747,1.85647,47.7006,-0.22747,-6.6379
1.7747,635.392,0,1.7747,1.85782,47.7239,-0.17747,-3.9879
1.7695,637.162,-0.0052,1.7695,1.85916,47.7454,-0.12495,-5.2504
